genealogy_id,parent_id,child_id,parent_type
1,1,1668,father
1,2,1668,mother
1,3,1669,father
1,4,1669,mother
1,5,1670,father
1,6,1670,mother
1,7,1671,father
1,8,1671,mother
1,9,1672,father
1,10,1672,mother
1,11,1673,father
1,12,1673,mother
1,13,1674,father
1,14,1674,mother
1,15,1675,father
1,16,1675,mother
1,17,1676,father
1,18,1676,mother
1,19,1677,father
1,20,1677,mother
1,21,1678,father
1,22,1678,mother
1,23,1679,father
1,24,1679,mother
1,25,1680,father
1,26,1680,mother
1,27,1681,father
1,28,1681,mother
1,29,1682,father
1,30,1682,mother
1,31,1683,father
1,32,1683,mother
1,33,1684,father
1,34,1684,mother
1,35,1685,father
1,36,1685,mother
1,37,1686,father
1,38,1686,mother
1,39,1687,father
1,40,1687,mother
1,41,1688,father
1,42,1688,mother
1,43,1689,father
1,44,1689,mother
1,45,1690,father
1,46,1690,mother
1,47,1691,father
1,48,1691,mother
1,49,1692,father
1,50,1692,mother
1,51,1693,father
1,52,1693,mother
1,53,1694,father
1,54,1694,mother
1,55,1695,father
1,56,1695,mother
1,57,1696,father
1,58,1696,mother
1,59,1697,father
1,60,1697,mother
1,61,1698,father
1,62,1698,mother
1,63,1699,father
1,64,1699,mother
1,65,1700,father
1,66,1700,mother
1,67,1701,father
1,68,1701,mother
1,69,1702,father
1,70,1702,mother
1,71,1703,father
1,72,1703,mother
1,73,1704,father
1,74,1704,mother
1,75,1705,father
1,76,1705,mother
1,77,1706,father
1,78,1706,mother
1,79,1707,father
1,80,1707,mother
1,81,1708,father
1,82,1708,mother
1,83,1709,father
1,84,1709,mother
1,85,1710,father
1,86,1710,mother
1,87,1711,father
1,88,1711,mother
1,89,1712,father
1,90,1712,mother
1,91,1713,father
1,92,1713,mother
1,93,1714,father
1,94,1714,mother
1,95,1715,father
1,96,1715,mother
1,97,1716,father
1,98,1716,mother
1,99,1717,father
1,100,1717,mother
1,101,1718,father
1,102,1718,mother
1,103,1719,father
1,104,1719,mother
1,105,1720,father
1,106,1720,mother
1,107,1721,father
1,108,1721,mother
1,109,1722,father
1,110,1722,mother
